gender,medal,type,year,country,abb
Women,Gold,Athletics,1980,Australia,AUS
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,FR Germany,FRG
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,France,FRA
Women,Gold,Athletics,1980,France,FRA
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,Great Britain,GBR
Women,Gold,Athletics,1980,Japan,JPN
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,Mexico,MEX
Women,Gold,Athletics,1980,United States of America,USA
Women,Gold,Athletics,1980,Egypt,EGY
Women,Gold,Athletics,1980,Netherlands,NED
Women,Gold,Athletics,1980,United States of America,USA
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,Switzerland,SUI
Women,Gold,Athletics,1980,Great Britain,GBR
Women,Gold,Athletics,1980,France,FRA
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,Poland,POL
Women,Gold,Athletics,1980,Poland,POL
Women,Gold,Athletics,1980,Poland,POL
Women,Gold,Athletics,1980,Great Britain,GBR
Women,Gold,Athletics,1980,New Zealand,NZL
Women,Gold,Athletics,1980,Jamaica,JAM
Women,Gold,Athletics,1980,Jamaica,JAM
Women,Gold,Athletics,1980,Mexico,MEX
Women,Gold,Athletics,1980,Mexico,MEX
Women,Gold,Athletics,1980,United States of America,USA
Women,Gold,Athletics,1980,United States of America,USA
Women,Gold,Athletics,1980,United States of America,USA
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,Great Britain,GBR
Women,Gold,Athletics,1980,United States of America,USA
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,Poland,POL
Women,Gold,Athletics,1980,Poland,POL
Women,Gold,Athletics,1980,Poland,POL
Women,Gold,Athletics,1980,Norway,NOR
Women,Gold,Athletics,1980,Poland,POL
Women,Gold,Athletics,1980,United States of America,USA
Women,Gold,Athletics,1980,Jamaica,JAM
Women,Gold,Athletics,1980,United States of America,USA
Women,Gold,Athletics,1980,United States of America,USA
Women,Gold,Athletics,1980,Poland,POL
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,Great Britain,GBR
Women,Gold,Athletics,1980,Great Britain,GBR
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,Egypt,EGY
Women,Gold,Athletics,1980,Poland,POL
Women,Gold,Athletics,1980,Japan,JPN
Women,Gold,Athletics,1980,Norway,NOR
Women,Gold,Athletics,1980,Kenya,KEN
Women,Gold,Athletics,1980,Denmark,DEN
Women,Gold,Athletics,1980,Israel,ISR
Women,Gold,Athletics,1980,Mexico,MEX
Women,Gold,Athletics,1980,Jamaica,JAM
Women,Gold,Athletics,1980,Ireland,IRL
Women,Gold,Athletics,1980,FR Germany,FRG
Women,Gold,Athletics,1980,New Zealand,NZL
Women,Gold,Athletics,1980,Canada,CAN
Women,Gold,Athletics,1980,FR Germany,FRG
Women,Gold,Athletics,1980,FR Germany,FRG
