gender,event,medal,type,year,country,abb,athlete
Men,400 m D,Gold,Athletics,1980,Canada,CAN,HARRISON J.
Men,400 m E,Gold,Athletics,1980,Finland,FIN,JAUHIAINEN Harri
Men,400 m E1,Gold,Athletics,1980,Norway,NOR,PEDERSEN Cato Zahl
Men,400 m F,Gold,Athletics,1980,Poland,POL,WIERZBICKI Marian
Men,400 m F1,Gold,Athletics,1980,FR Germany,FRG,BERG Matthias
Men,400 m 2,Gold,Athletics,1980,Mexico,MEX,VALDEZ Eusebio
Men,400 m 3,Gold,Athletics,1980,Belgium,BEL,DE VOS Marc
Men,400 m D1 runners,Gold,Athletics,1980,Austria,AUT,FINK Walter
Men,400 m D1 wheelchairs,Gold,Athletics,1980,United States of America,USA,BRINKMAN C.
Men,800 m CP C,Gold,Athletics,1980,Sweden,SWE,SHAWN Bertil
Men,800 m CP D,Gold,Athletics,1980,Sweden,SWE,ANDERSSON Jonas
Men,800 m 4,Gold,Athletics,1980,Canada,CAN,HANSEN R.
Men,800 m 5,Gold,Athletics,1980,Canada,CAN,FITZGERALD M.
Men,1500 m A,Gold,Athletics,1980,Canada,CAN,PILON Jacques
Men,1500 m B,Gold,Athletics,1980,Canada,CAN,ENGLISH P.
Men,1500 m E,Gold,Athletics,1980,Finland,FIN,LINDBERG R.
Men,1500 m E1,Gold,Athletics,1980,Norway,NOR,PEDERSEN Cato Zahl
Men,1500 m F,Gold,Athletics,1980,FR Germany,FRG,SCHROEDER Karl
Men,1500 m F1,Gold,Athletics,1980,Egypt,EGY,GHREEB Khater Eid
Men,1500 m 4,Gold,Athletics,1980,United States of America,USA,PARKS B.
Men,1500 m 5,Gold,Athletics,1980,Canada,CAN,FITZGERALD M.
Men,5000 m Walk A,Gold,Athletics,1980,Japan,JPN,KOBAYASHI S.
Men,5000 m Walk B,Gold,Athletics,1980,Great Britain,GBR,HOWIE D.
Men,Slalom 1A,Gold,Athletics,1980,Switzerland,SUI,CAVIGELLI Meinrad
Men,Slalom 1B,Gold,Athletics,1980,Italy,ITA,CIUFFREDA Giovanni
Men,Slalom 1C,Gold,Athletics,1980,New Zealand,NZL,MILLER D.
Men,Slalom F1,Gold,Athletics,1980,FR Germany,FRG,BRAND Andreas
Men,Slalom 2,Gold,Athletics,1980,Japan,JPN,TSUNODA Yoshio
Men,Slalom 3,Gold,Athletics,1980,Belgium,BEL,VAN WINKEL Paul
Men,Slalom 4,Gold,Athletics,1980,Japan,JPN,GO Tadanobu
Men,Slalom 5,Gold,Athletics,1980,Switzerland,SUI,NIETLISPACH Franz
Men,High Jump A,Gold,Athletics,1980,Canada,CAN,LAMBIER E.
Men,High Jump B,Gold,Athletics,1980,Japan,JPN,MATSUI Hiromasa
