year,country,longitude,latitude,value
1988,Algeria,1.659626,28.033886,O
1988,Dominican Republic,-70.162651,18.735693,O
1988,Côte Ivoire,-5.54708,7.539989,O
1988,Belarus,27.953389,53.709807,O
1988,Ukraine,31.16558,48.379433,O
1988,Greece,21.824312,39.074208,B
1988,Estonia,25.013607,58.595272,O
1988,Lithuania,23.881275,55.169438,O
1988,Zimbabwe,29.154857,-19.015438,O
1988,Thailand,100.992541,15.870032,S
1988,Tunisia,9.537499,33.886917,B
1988,Chinese Taipei,120.960515,23.69781,O
1988,Angola,17.873887,-11.202692,O
1988,Morocco,-7.09262,31.791702,B
1988,Azerbaijan,47.576927,40.143105,O
1988,Latvia,24.603189,56.879635,O
1988,India,78.96288,20.593684,O
1988,Botswana,24.684866,-22.328474,O
1988,Saudi Arabia,45.079162,23.885942,O
1988,Croatia,15.2,45.1,O
1988,Chile,-71.542969,-35.675147,O
1988,Fiji,179.414413,-16.578193,O
1988,Namibia,18.49041,-22.95764,O
1988,Malaysia,101.975766,4.210484,O
1988,United Arab Emirates,53.847818,23.424076,O
1988,Iraq,43.679291,33.223191,O
1988,Uzbekistan,64.585262,41.377491,O
1988,Colombia,-74.297333,4.570868,O
1988,Vietnam,108.277199,14.058324,O
1988,UNKNOWN,123.0,48.0,O
1988,Luxembourg,6.129583,49.815273,O
1988,Faroe Islands,-6.911806,61.892635,S
1988,Peru,-75.015152,-9.189967,O
1988,Cyprus,33.429859,35.126413,O
1988,Singapore,103.819836,1.352083,O
1988,Kazakhstan,66.923684,48.019573,O
1988,Jordan,36.238414,30.585164,O
1988,Bosnia and Herzegovina,17.679076,43.915886,O
1988,Bahamas,-77.39628,25.03428,O
1988,East Germany,10.451526,51.165691,O
1988,Indonesia,113.921327,-0.789275,S
1988,Venezuela,-66.58973,6.42375,O
1988,Palestine,35.233154,31.952162,O
1988,Papua New Guinea,143.95555,-6.314993,O
1988,Pakistan,69.345116,30.375321,O
1988,Ethiopia,40.489673,9.145,O
1988,Uganda,32.290275,1.373333,O
1988,Qatar,51.183884,25.354826,O
1988,Uruguay,-55.765835,-32.522779,O
1988,Moldova,28.369885,47.411631,O
1988,Rwanda,29.873888,-1.940278,O
1988,Sri Lanka,80.771797,7.873054,O
1988,Cabo Verde,-24.013197,16.002082,O
1988,Mozambique,35.529562,-18.665695,O
1988,Libya,17.228331,26.3351,O
1988,Philippines,121.774017,12.879721,O
1988,Laos,102.495496,19.85627,O
1988,Syria,38.996815,34.802075,O
1992,Denmark,9.501785,56.26392,B
1992,FR Germany,10.451526,51.165691,O
1992,Canada,-106.346771,56.130366,G
1992,Mexico,-102.552784,23.634501,B
1992,Finland,25.748151,61.92411,G
1992,France,2.213749,46.227638,B
1992,Korea,127.766922,35.907757,B
1992,Norway,8.468946,60.472024,G
